Title,Link
"PHP / MySQL - Database Applications",https://www.youtube.com/playlist?list=PLlRFEj9H3Oj5F-GFxG-rKzORVAu3jestu
"Coursera IHTS/PR4E Office Hours",https://www.youtube.com/playlist?list=PLlRFEj9H3Oj4qyq0OLZ76cMtUUgqUNtmz
"Sakai",https://www.youtube.com/playlist?list=PLC8BB0FE08874F985
"Tsugi Learning Tool Environment",https://www.youtube.com/playlist?list=PLlRFEj9H3Oj5WZUjVjTJVBN18ozYSWMhw
"Voices of the Students in MOOCs",https://www.youtube.com/playlist?list=PLlRFEj9H3Oj57RHrRRbLGRt6JtpoEDqrs
"C.H.U.M. Therapeutic Riding",https://www.youtube.com/playlist?list=PLEA0A467E5C90FA34
"Python For Informatics - www.pythonlearn.com",https://www.youtube.com/playlist?list=PLlRFEj9H3Oj4JXIwMwN1_ss1Tk8wZShEJ
"IEEE Computing Conversations",https://www.youtube.com/playlist?list=PL4660FB7F523B1770
"Internet: TCI, Nuthin But Net, and North Coast Digital - Richard Wiggins and Charles Severance",https://www.youtube.com/playlist?list=PLlRFEj9H3Oj5Dlcu6P92S5dpmb3ihr7QW
"PythonLearn",https://www.youtube.com/playlist?list=PL710F7581CFB8F7C3
"Rasberry Pi",https://www.youtube.com/playlist?list=PLlRFEj9H3Oj6prb5zCMb0hfDF3b1jzwfx
"Favorites",https://www.youtube.com/playlist?list=FLhYfrRp_CWyqOt-ZYJGOgmA
"Internet and Web Pioneers",https://www.youtube.com/playlist?list=PLF8F7DEF2E480A655
"Liked videos",https://www.youtube.com/playlist?list=LLhYfrRp_CWyqOt-ZYJGOgmA
